ITEM;TRANSLATION
코피;bloedneus
할인;korting
수돗물;kraanwater
용서;vergiffenis
우편;post
줄무늬;streep
초콜릿;chocolade
피자;pizza
간식;snack
벨트;riem
식욕;eetlust
음악가;musicus
칫솔;tandenborstel
포도;druif
샤워;douche
세탁기;wasmachine
오븐;oven
와인;wijn
자판기;automaat
담요;deken
양배추;kool
여왕;koningin
사자;leeuw
장례식;begrafenis
카레;kerrie
페인트;verf
농구;basketbal
내용물;inhoud
주문;spreuk
지능;intelligentie
코끼리;olifant
콘서트;concert
무지개;regenboog
문법;grammatica
비둘기;duif
앞문;voordeur
칠판;schoolbord
목요일;donderdag
지우개;gum
손녀;kleindochter
잠옷;pyjama
우표;stempel
장미;roos
복숭아;perzik
화요일;dinsdag
독감;griep
잠자리;libelle
필통;etui
사탕;suiker
빗;kam
분필;krijt
미용실;schoonheidssalon
풍경;landschap
독일;Duitsland
영국;Engeland
유럽;Europa
회사;bedrijf
아시아;Azië
미국;Amerika
호주;Australië
사회;maatschappij
문화;cultuur
사실;waarheid
눈;ogen
퍼센트;procent
대통령;president
지역;regio
교육;onderwijs
선생님;onderwijzer
예술;kunst
역사;geschiedenis
힘;kracht
이름;naam
사건;incident
이유;rede
남편;echtgenoot
머리;hoofd
변화;verandering
아들;zoon
분;minuut
활동;activiteit
관심;interesse
방;kamer
아침;ochtend
기술;techniek
끝;einde
입;mond
줄;manier
하늘;lucht
과학;wetenschap
구조;structuur
맛;smaak
표정;gezichtsuitdrukking
계획;plan
세기;eeuw
형태;vorm
나이;leeftijd
정보;informatie
행동;gedrag
영향;invloed
단계;fase
대표;vertegenwoordiger
목소리;stem 
바다;zee
존재;bestaan
학년;schooljaar
기능;functie
순간;moment
소설;roman
오후;namiddag
아기;baby
달;maan
병원;ziekenhuis
경찰;politie 
저녁;avond
기자;journalist
시험;examen
원인;oorzaak
재산;eigendom
언어;taal
감독;directeur
담배;tabak
할아버지;grootvader
조직;organisatie
사고;ongeluk
쌀;rijst
농업;landbouw
태도;houding
다리;been
재료;materiaal
자유;vrijheid
책임;verantwoordelijkheid
경쟁;rivaliteit
여름;zomer
기회;kans
소비자;consument
건설;constructie
어린이;kind
지식;kennis
선수;atleet
형식;formaliteit
주제;thema
귀;oor
감정;gevoel
기억;herinnering
인기;populariteit
아파트;appartement
평가;evaluatie
위치;locatie
식사;maaltijd
분석;analyse
소녀;meisje
봄;lente
여행;reis
공;bal 
한계;limiet
쓰레기;vuilnis
냄새;geur
준비;voorbereiding
경향;tendens
움직임;beweging
직원;personeel
논리;logica
가을;herfst
판매;verkoop
형성;formatie
길이;lengte
날씨;weer
평화;vrede
싸움;gevecht
미소;lach
식당;restaurant
이익;profijt
컵;beker
위기;crisis
종이;papier
절차;procedure
기대;verwachting
춤;dans
안정;stabiliteit
과일;fruit
그림자;schaduw
결론;conclusie
박물관;museum
소문;gerucht
개선;verbetering
신화;mythe
철학;filosofie
숙제;huiswerk
예산;begroting
우산;paraplu
무릎;knie
참여;deelname
단위;eenheid
소득;inkomen
수도;hoofdstad
침대;bed 
지도자;leider
스포츠;sport
고객;klant
과학자;wetenschapper
관광;toerisme
도서관;bibliotheek
마늘;knoflook
습관;gewoonte
위험;gevaar
상처;wond
지하철;metro
화면;scherm
균형;evenwicht
부족;stam
사무실;kantoor
일요일;zondag
방문;bezoek
강;rivier
숫자;getal
택시;taxi
계산;berekening
꼬리;staart
전기;elektriciteit
잡지;tijdschrift
법원;rechtbank
기름;olie
화장실;badkamer
실험;experiment
용기;moed 
토론;debat
주말;weekend
지혜;wijsheid
참새;mus
생일;verjaardag
바닥; vloer
비밀; geheim
손가락; vinger
나머지; rest
주인공; held
서비스; dienst
전문가; deskundige
문화재; erfgoed
십이월; December
어려움; moeilijkheid
일주일; week
상대방; tegenstander
부동산; vastgoed
문제점; probleem
시스템; systeem
예술가; artiest
조미료; condiment
공무원; ambtenaar
대학생; student
백화점; warenhuis
고양이; kat
방송국; omroepstation
